Row,S1_TotalTime,S2_AccelEnergy,S3_JerkEnergy
Joint 1,100013.789604622,101183.019146856,102055.340226538
Joint 2,100013.789604622,101183.019146856,102055.340226538
Joint 3,100013.789604622,101183.019146856,102055.340226538
Joint 4,100013.789604622,101183.019146856,102055.340226538
Joint 5,100013.789604622,101183.019146856,102055.340226538
Joint 6,100013.789604622,101183.019146856,102055.340226538
