Row,S1_TotalTime,S2_AccelEnergy,S3_JerkEnergy
Joint 1,100007.771305656,110127.408395912,207986.235226767
Joint 2,100007.771305656,110127.408395912,207986.235226767
Joint 3,100007.771305656,110127.408395912,207986.235226767
Joint 4,100007.771305656,110127.408395912,207986.235226767
Joint 5,100007.771305656,110127.408395912,207986.235226767
Joint 6,100007.771305656,110127.408395912,207986.235226767
